Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,42,50,33,33,71,100,53,0.00,2,7,-
1,2,2006,35,44,26,37,98,100,81,0.43,2,8,-
1,3,2006,40,42,39,40,95,100,87,0.01,6,10,16
1,4,2006,40,44,35,38,90,100,81,0.00,2,7,-
1,5,2006,45,53,37,38,82,100,58,0.00,3,9,-
1,6,2006,33,42,24,26,67,93,42,0.00,3,14,22
1,7,2006,27,39,15,18,69,100,42,0.00,2,8,-
1,8,2006,40,53,28,25,57,75,38,0.00,5,12,21
1,9,2006,57,66,48,41,56,87,46,0.00,8,14,24
1,10,2006,47,53,41,37,69,93,54,0.00,5,9,16
1,11,2006,46,51,41,45,97,100,71,0.15,2,8,-
1,12,2006,50,62,37,41,74,100,37,0.00,4,7,-
1,13,2006,53,64,42,50,90,100,73,0.01,4,14,23
1,14,2006,48,62,35,40,80,100,48,0.29,9,23,32
1,15,2006,36,44,28,9,35,55,20,0.00,11,22,30
1,16,2006,36,44,28,16,44,69,25,0.00,2,6,-
1,17,2006,39,46,32,34,82,93,64,0.00,2,8,-
1,18,2006,50,64,33,34,65,100,34,0.29,14,31,44
1,19,2006,44,59,30,23,46,69,27,0.00,5,10,17
1,20,2006,53,64,42,33,49,66,34,0.00,7,12,16
1,21,2006,54,66,42,41,61,77,48,0.00,7,15,23
1,22,2006,36,42,30,26,68,100,42,0.24,5,8,20
1,23,2006,38,44,33,37,97,100,61,0.23,2,9,-
1,24,2006,40,50,30,37,85,100,57,0.00,2,15,31
1,25,2006,40,44,35,21,47,70,31,0.00,12,28,37
1,26,2006,33,42,24,11,39,59,19,0.00,9,16,24
1,27,2006,32,48,15,10,46,86,16,0.00,1,6,-
1,28,2006,48,64,33,20,34,48,19,0.00,5,8,-
1,29,2006,52,60,44,43,70,88,43,0.00,7,17,30
1,30,2006,54,64,44,43,71,100,34,0.00,3,6,-
1,31,2006,42,51,33,34,69,93,38,0.03,6,17,26
2,1,2006,36,48,23,25,68,100,40,0.00,1,8,-
2,2,2006,44,57,32,31,59,81,38,0.00,4,9,-
2,3,2006,54,62,46,47,84,100,52,0.19,4,13,20
2,4,2006,52,60,44,47,92,100,71,0.29,5,13,22
2,5,2006,38,44,33,24,59,93,34,0.00,8,26,36
2,6,2006,37,46,28,17,47,74,23,0.00,7,16,23
2,7,2006,34,46,23,14,46,74,23,0.00,5,13,18
2,8,2006,28,39,17,16,59,93,33,0.00,2,7,-
2,9,2006,29,39,19,14,57,93,28,0.00,3,14,17
2,10,2006,35,46,24,13,43,69,25,0.00,3,14,20
2,11,2006,32,35,30,29,86,100,52,0.04,3,9,-
2,12,2006,32,37,24,23,72,100,45,0.25,9,17,24
2,13,2006,28,39,17,15,57,86,38,0.00,5,14,21
2,14,2006,38,50,26,21,50,69,34,0.00,5,10,18
2,15,2006,48,64,32,25,41,75,22,0.00,5,12,16
2,16,2006,56,69,42,35,47,70,27,0.00,6,16,26
2,17,2006,52,66,39,34,48,72,25,0.00,11,21,33
2,18,2006,29,39,17,22,66,100,41,0.06,4,15,25
2,19,2006,20,30,10,-1,40,62,23,0.00,6,13,22
2,20,2006,34,44,24,21,63,100,39,0.00,3,8,-
2,21,2006,38,53,24,22,52,86,26,0.00,3,12,18
2,22,2006,36,39,32,33,91,100,52,0.08,1,9,-
2,23,2006,44,55,33,29,67,100,22,0.00,4,17,24
2,24,2006,38,51,26,12,37,80,15,0.00,7,21,29
2,25,2006,42,62,21,20,49,86,22,0.00,4,16,29
2,26,2006,28,37,17,6,36,68,22,0.00,12,18,33
