Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,43,53,33,37,85,100,51,0.00,2,8,-
1,2,2006,45,57,33,46,96,100,82,0.43,6,13,22
1,3,2006,46,51,42,46,99,100,93,0.32,7,17,29
1,4,2006,42,44,39,40,90,100,81,0.00,6,9,-
1,5,2006,50,57,42,44,87,100,51,0.00,6,10,17
1,6,2006,40,46,35,34,71,87,56,0.03,9,18,28
1,7,2006,36,41,30,24,65,87,45,0.00,7,13,18
1,8,2006,40,51,30,32,71,100,41,0.00,6,15,22
1,9,2006,57,64,50,45,64,77,50,0.00,14,23,32
1,10,2006,48,55,42,40,74,100,51,0.00,7,12,-
1,11,2006,54,64,44,53,94,100,77,0.04,6,15,21
1,12,2006,54,62,46,52,95,100,68,0.00,6,13,18
1,13,2006,55,64,46,56,97,100,88,0.01,7,16,25
1,14,2006,50,62,37,50,93,100,76,0.40,15,33,45
1,15,2006,37,42,32,19,50,87,33,0.00,27,37,56
1,16,2006,37,42,32,24,57,87,39,0.00,9,17,26
1,17,2006,50,60,39,45,81,100,67,0.03,7,18,29
1,18,2006,52,62,42,45,76,100,37,0.33,19,37,51
1,19,2006,45,57,33,31,60,81,28,0.00,8,14,21
1,20,2006,53,62,44,35,51,66,37,0.00,10,16,25
1,21,2006,56,62,48,49,75,94,54,0.00,15,21,30
1,22,2006,42,48,37,33,69,100,54,0.22,10,17,22
1,23,2006,48,53,42,46,100,100,100,0.08,8,14,20
1,24,2006,46,51,41,40,80,100,50,0.00,6,15,23
1,25,2006,44,50,39,29,56,87,36,0.00,15,31,47
1,26,2006,38,41,35,18,46,56,36,0.00,22,30,44
1,27,2006,36,42,30,18,51,80,29,0.00,9,14,21
1,28,2006,45,57,33,26,48,81,29,0.00,8,16,23
1,29,2006,49,60,39,43,76,94,43,0.00,9,16,25
1,30,2006,56,64,48,53,91,100,68,0.00,8,16,20
1,31,2006,48,51,44,43,85,100,57,0.27,9,23,39
2,1,2006,42,46,39,30,60,81,50,0.00,10,16,24
2,2,2006,48,55,41,42,80,100,58,0.00,7,13,17
2,3,2006,58,69,46,54,86,100,53,0.00,12,21,30
2,4,2006,54,62,46,55,96,100,77,0.20,7,20,32
2,5,2006,48,55,41,32,61,82,46,0.00,14,23,33
2,6,2006,42,48,37,25,51,65,34,0.00,13,21,30
2,7,2006,36,44,28,25,61,93,34,0.00,4,12,17
2,8,2006,32,41,24,23,68,93,45,0.00,4,12,18
2,9,2006,32,39,24,21,64,93,42,0.00,3,16,21
