Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,,,,,,,,,,,
1,2,2006,,,,,,,,,,,
1,3,2006,44,46,39,43,96,100,87,0.01,6,12,15
1,4,2006,40,41,39,38,95,100,87,0.00,5,13,-
1,5,2006,48,53,42,41,80,100,58,0.00,3,6,-
1,6,2006,37,42,32,30,70,100,52,0.00,6,8,16
1,7,2006,-,-,-,-,-,-,-,0.00,-,-,-
1,8,2006,,,,,,,,,,,
1,9,2006,56,64,48,45,64,88,45,0.00,7,12,23
1,10,2006,45,51,39,35,69,100,44,0.00,5,9,-
1,11,2006,53,64,42,52,90,100,68,0.03,4,10,21
1,12,2006,55,64,46,49,89,100,45,0.00,2,4,-
1,13,2006,57,64,50,56,91,100,73,0.00,5,9,-
1,14,2006,,,,,,,,,,,
1,15,2006,,,,,,,,,,,
1,16,2006,,,,,,,,,,,
1,17,2006,50,59,41,47,86,100,67,0.00,6,14,21
1,18,2006,45,55,35,35,68,100,34,0.32,11,26,38
1,19,2006,42,55,30,24,44,80,25,0.00,3,7,-
1,20,2006,51,60,42,30,43,61,27,0.00,6,10,20
1,21,2006,-,-,-,-,-,-,-,0.00,-,-,-
1,22,2006,,,,,,,,,,,
1,23,2006,42,48,37,43,99,100,93,0.02,3,8,-
1,24,2006,46,50,41,37,74,100,43,0.00,5,8,17
1,25,2006,42,46,39,20,39,46,29,0.00,14,23,34
1,26,2006,37,42,32,11,36,55,24,0.00,10,14,23
1,27,2006,35,44,26,14,48,86,15,0.00,5,9,-
1,28,2006,-,-,-,-,-,-,-,0.00,-,-,-
1,29,2006,,,,,,,,,,,
1,30,2006,54,62,46,49,84,100,59,0.00,3,5,-
1,31,2006,46,51,41,38,76,100,43,0.27,7,13,24
2,1,2006,40,46,33,28,62,100,43,0.00,4,7,-
2,2,2006,47,59,35,36,62,100,36,0.00,5,9,-
2,3,2006,58,68,48,49,70,94,40,0.00,7,12,-
2,4,2006,-,-,-,-,-,-,-,0.00,-,-,-
2,5,2006,,,,,,,,,,,
2,6,2006,40,48,32,18,40,64,27,0.00,9,14,22
2,7,2006,38,46,26,19,50,100,23,0.00,3,9,-
2,8,2006,33,42,24,19,54,80,34,0.00,2,5,-
2,9,2006,34,39,28,18,53,93,36,0.00,5,12,-
2,10,2006,32,46,19,18,48,93,25,0.00,4,10,18
2,11,2006,-,-,-,-,-,-,-,0.00,-,-,-
2,12,2006,,,,,,,,,,,
2,13,2006,34,41,26,15,46,80,28,0.00,5,9,-
2,14,2006,40,51,28,21,42,69,26,0.00,5,8,14
2,15,2006,50,62,37,23,34,65,16,0.00,5,10,18
2,16,2006,56,66,46,37,46,76,26,0.00,7,12,21
2,17,2006,56,68,44,36,51,88,24,0.00,9,12,26
2,18,2006,-,-,-,-,-,-,-,0.00,-,-,-
2,19,2006,,,,,,,,,,,
2,20,2006,,,,,,,,,,,
2,21,2006,43,51,35,32,68,100,38,0.00,4,8,-
2,22,2006,42,48,37,41,92,100,76,0.00,3,7,-
2,23,2006,42,51,33,39,88,100,62,0.03,3,8,-
2,24,2006,42,51,33,16,36,56,19,0.00,6,10,-
2,25,2006,-,-,-,-,-,-,-,0.00,-,-,-
2,26,2006,,,,,,,,,,,
