Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,41,52,30,28,60,82,38,0.00,3,12,16
1,2,2006,34,40,28,37,88,100,75,0.78,3,13,17
1,3,2006,48,55,40,41,86,100,71,T,3,9,13
1,4,2006,41,47,34,37,88,100,76,0.00,4,12,13
1,5,2006,45,53,36,34,72,100,44,0.00,6,12,15
1,6,2006,34,44,24,21,57,78,36,0.00,6,13,18
1,7,2006,29,42,16,17,64,88,39,0.00,5,14,16
1,8,2006,40,55,24,24,57,81,32,0.00,6,15,18
1,9,2006,56,66,45,40,60,76,44,0.00,7,15,18
1,10,2006,47,55,38,37,70,89,50,T,4,12,16
1,11,2006,46,49,43,43,83,100,65,0.31,3,9,13
1,12,2006,46,61,30,37,68,100,36,0.00,4,13,14
1,13,2006,46,60,32,43,92,100,84,0.67,5,22,30
1,14,2006,42,52,31,27,68,96,39,T,12,24,40
1,15,2006,37,45,29,8,34,47,20,0.00,7,20,29
1,16,2006,37,47,26,19,53,75,31,0.00,2,8,10
1,17,2006,49,62,36,33,67,86,48,0.05,6,25,33
1,18,2006,45,60,29,35,65,93,37,0.34,12,29,44
1,19,2006,43,60,26,23,51,75,26,0.00,6,15,18
1,20,2006,49,65,33,30,58,82,34,0.00,7,14,17
1,21,2006,49,61,37,40,68,89,47,0.04,7,18,24
1,22,2006,38,43,33,27,67,89,44,0.53,5,14,17
1,23,2006,41,48,33,36,95,100,89,0.26,3,8,9
1,24,2006,47,55,38,36,65,100,30,T,6,17,25
1,25,2006,40,45,34,18,49,62,36,0.00,12,22,35
1,26,2006,33,43,23,13,46,65,27,0.00,8,21,32
1,27,2006,33,49,17,12,48,77,18,0.00,4,10,12
1,28,2006,46,63,28,21,39,58,20,0.00,6,10,13
1,29,2006,49,58,40,43,71,93,49,0.05,10,23,29
1,30,2006,49,62,35,40,70,100,39,0.05,4,13,16
1,31,2006,39,49,28,29,68,93,42,0.07,9,18,29
2,1,2006,35,49,21,22,61,85,37,0.00,3,12,15
2,2,2006,41,54,27,33,67,92,41,0.32,4,12,17
2,3,2006,51,62,40,44,76,100,52,0.23,6,16,20
2,4,2006,44,49,39,42,79,100,57,0.50,8,18,28
2,5,2006,36,42,30,20,53,64,41,0.00,9,21,32
2,6,2006,36,46,26,15,45,63,27,0.00,7,18,24
2,7,2006,34,46,22,12,43,65,21,0.00,5,14,18
2,8,2006,31,44,18,13,54,80,27,0.00,4,14,17
2,9,2006,31,39,22,10,51,74,27,0.00,5,14,20
2,10,2006,33,48,18,14,50,74,25,0.00,5,18,22
2,11,2006,35,38,31,30,72,96,47,0.70,3,7,12
2,12,2006,27,35,19,21,75,100,50,0.01,6,16,24
2,13,2006,25,37,12,14,65,88,42,0.00,6,16,23
2,14,2006,37,51,23,20,49,63,34,0.00,7,15,20
2,15,2006,44,62,25,26,55,81,29,0.00,6,14,20
2,16,2006,53,67,38,34,54,79,29,0.00,9,21,28
2,17,2006,51,63,39,31,49,71,27,T,9,20,29
2,18,2006,32,39,24,22,68,92,44,0.19,5,12,17
2,19,2006,22,32,12,7,50,67,33,0.00,5,12,15
2,20,2006,34,42,26,24,73,100,45,0.04,4,12,15
2,21,2006,43,52,34,23,49,70,28,0.00,7,16,20
2,22,2006,39,45,32,31,72,96,48,0.07,3,8,15
2,23,2006,44,54,33,29,61,100,22,0.01,5,17,25
2,24,2006,41,53,29,9,32,51,12,0.00,8,18,26
2,25,2006,44,62,26,19,41,60,22,0.00,6,20,24
2,26,2006,36,44,27,2,27,39,15,0.00,8,13,21
2,27,2006,33,45,21,8,34,44,24,0.00,6,22,31
2,28,2006,49,66,32,26,47,70,24,0.00,4,20,26
3,1,2006,50,63,36,33,59,76,42,0.00,2,8,13
3,2,2006,56,76,35,36,51,82,20,0.00,7,23,32
3,3,2006,37,49,25,19,42,56,27,0.00,6,16,23
3,4,2006,37,53,21,12,42,68,15,0.00,6,13,20
3,5,2006,40,55,24,15,39,62,16,0.00,4,12,15
3,6,2006,41,48,33,30,64,96,31,0.10,2,7,10
3,7,2006,42,54,29,23,56,92,19,0.00,4,14,18
3,8,2006,41,57,24,22,50,75,24,0.00,4,13,16
3,9,2006,55,70,39,36,48,70,26,0.00,11,24,30
3,10,2006,66,79,52,40,47,77,16,T,11,23,31
3,11,2006,60,78,42,37,43,65,20,T,4,14,18
3,12,2006,69,83,54,54,66,93,39,0.00,6,16,22
3,13,2006,67,81,53,53,68,100,35,T,11,25,36
3,14,2006,56,68,44,30,50,84,15,0.04,13,23,35
3,15,2006,47,55,39,13,27,38,15,0.00,12,24,32
3,16,2006,50,62,39,18,30,49,18,0.00,5,10,-
3,17,2006,46,54,37,23,39,65,27,0.00,5,8,-
3,18,2006,40,51,28,11,33,64,16,0.00,6,14,23
3,19,2006,38,52,24,10,30,57,19,0.00,6,14,20
3,20,2006,38,50,27,19,43,79,25,0.00,3,8,-
3,21,2006,36,39,32,28,80,96,48,0.07,4,12,18
3,22,2006,38,48,28,20,56,96,28,0.00,4,14,17
3,23,2006,38,52,24,21,53,81,28,0.00,2,9,-
3,24,2006,44,50,37,26,52,65,39,0.00,4,12,17
3,25,2006,37,42,31,34,81,96,65,0.40,2,7,9
3,26,2006,35,46,24,24,63,92,39,0.00,3,12,16
3,27,2006,40,55,26,24,53,85,24,0.00,3,9,-
3,28,2006,50,63,37,34,63,93,31,0.06,4,15,-
3,29,2006,47,61,33,36,86,100,41,0.00,2,6,-
3,30,2006,52,68,35,38,65,97,35,0.00,3,10,-
3,31,2006,60,75,46,47,60,74,43,0.00,8,21,25
4,1,2006,70,80,54,50,60,86,27,0.00,9,14,25
4,2,2006,59,75,43,44,57,93,32,0.00,3,9,-
4,3,2006,64,78,53,50,68,93,41,0.15,7,17,36
4,4,2006,52,61,44,22,33,59,21,0.00,8,16,23
4,5,2006,52,63,43,23,30,53,22,0.00,9,17,29
4,6,2006,52,72,33,28,40,78,20,0.00,3,10,17
4,7,2006,69,84,54,43,50,97,20,0.11,6,17,28
4,8,2006,53,63,44,50,86,94,62,0.20,6,12,17
4,9,2006,45,61,30,29,63,100,27,0.00,2,7,-
4,10,2006,49,66,32,28,48,85,23,0.00,2,9,-
4,11,2006,57,75,39,33,41,68,22,0.00,4,13,18
4,12,2006,60,73,46,39,47,63,29,0.00,6,15,23
4,13,2006,68,82,53,44,48,72,22,0.00,6,12,18
4,14,2006,64,80,48,52,73,94,40,0.22,3,10,20
4,15,2006,70,86,55,55,69,96,30,0.11,4,12,18
4,16,2006,66,73,60,55,74,93,51,0.23,3,8,-
4,17,2006,49,59,39,45,85,100,69,0.08,4,8,-
4,18,2006,51,70,33,38,74,100,31,0.00,1,7,-
4,19,2006,58,75,41,44,62,93,26,0.00,1,5,-
4,20,2006,62,82,44,45,64,100,24,0.00,1,8,-
4,21,2006,66,75,60,60,87,100,59,0.09,3,8,-
4,22,2006,62,68,55,59,92,100,73,1.20,5,15,25
4,23,2006,68,80,57,55,78,100,28,0.00,2,12,20
4,24,2006,66,81,52,47,55,86,25,0.00,5,13,20
4,25,2006,66,81,53,52,64,90,40,0.05,3,13,17
4,26,2006,52,57,48,47,82,94,69,0.00,5,9,-
4,27,2006,56,69,45,40,65,93,21,0.00,1,8,-
4,28,2006,55,72,39,36,53,93,28,0.00,2,9,17
4,29,2006,51,68,36,31,47,79,26,0.00,2,9,16
4,30,2006,52,64,39,35,55,86,31,0.00,2,8,16
5,1,2006,53,70,37,33,49,86,20,0.00,4,14,16
5,2,2006,57,75,39,45,64,96,35,0.00,3,8,-
5,3,2006,62,71,52,48,60,86,41,0.00,6,15,24
5,4,2006,63,82,45,45,53,97,23,0.00,3,10,-
5,5,2006,65,77,55,57,78,97,50,0.09,2,9,-
5,6,2006,64,78,52,49,62,96,28,0.00,3,14,16
5,7,2006,52,57,46,44,80,93,50,0.80,5,12,-
5,8,2006,50,55,46,45,87,93,69,0.00,5,14,18
5,9,2006,54,64,46,46,82,100,50,0.01,2,7,-
5,10,2006,60,75,44,51,76,97,51,0.00,3,10,-
5,11,2006,62,72,51,58,84,94,63,0.24,8,13,20
5,12,2006,52,68,39,42,66,97,44,0.00,5,13,-
5,13,2006,57,72,42,43,62,93,34,0.00,2,9,-
5,14,2006,59,69,50,50,82,100,50,0.22,2,9,-
5,15,2006,52,64,41,45,81,100,48,0.02,3,7,-
5,16,2006,54,68,42,44,73,100,44,0.00,4,10,17
5,17,2006,57,71,44,47,69,93,43,0.00,4,13,18
5,18,2006,60,71,48,46,65,93,38,0.00,6,16,25
5,19,2006,56,68,45,40,57,83,37,0.00,7,15,23
5,20,2006,64,78,51,43,49,83,20,0.00,5,15,21
5,21,2006,62,82,41,42,47,89,22,0.00,5,16,24
5,22,2006,59,73,45,35,42,80,19,0.00,3,9,17
5,23,2006,58,72,45,34,45,74,22,0.00,3,9,17
5,24,2006,60,77,43,38,49,82,19,0.00,2,9,-
5,25,2006,66,84,48,53,63,86,41,0.00,3,12,20
5,26,2006,72,82,62,61,75,90,52,0.14,5,13,22
5,27,2006,72,84,61,59,63,87,41,0.00,4,8,-
5,28,2006,70,84,55,58,73,100,41,0.00,1,6,-
5,29,2006,74,90,59,60,72,96,36,0.00,1,7,-
5,30,2006,76,91,60,63,74,100,35,0.00,0,5,-
5,31,2006,76,88,66,66,78,94,48,0.06,3,10,-
6,1,2006,77,90,64,64,77,97,38,0.00,2,10,-
6,2,2006,75,88,64,64,79,100,43,0.42,4,24,30
6,3,2006,67,78,57,57,70,96,37,0.00,5,13,18
6,4,2006,65,80,51,50,57,97,31,0.00,2,9,16
6,5,2006,64,71,55,49,61,87,43,0.00,2,8,-
6,6,2006,64,77,51,51,64,93,38,0.00,3,9,-
6,7,2006,66,84,51,52,60,96,32,0.00,2,9,17
6,8,2006,66,78,57,58,69,90,52,0.00,4,10,-
6,9,2006,69,82,57,53,54,90,31,0.00,5,14,22
6,10,2006,66,78,55,51,59,81,39,0.00,3,13,21
6,11,2006,66,75,59,59,81,94,56,0.14,2,6,-
6,12,2006,62,70,55,58,85,100,65,1.53,3,9,16
6,13,2006,63,75,51,55,81,100,48,0.00,1,6,-
6,14,2006,67,73,61,61,88,100,71,0.03,3,7,-
6,15,2006,67,80,55,55,67,96,40,0.00,2,8,-
6,16,2006,70,82,57,54,61,93,34,0.00,2,8,-
6,17,2006,72,87,57,59,69,94,37,0.00,2,8,-
6,18,2006,74,88,60,60,67,94,37,0.00,3,13,18
6,19,2006,74,86,63,62,70,87,51,0.00,6,12,16
6,20,2006,75,87,63,59,62,93,32,0.00,4,12,18
6,21,2006,72,89,57,60,66,93,39,0.00,2,8,-
6,22,2006,78,93,64,65,62,90,37,0.00,3,12,-
6,23,2006,76,84,69,68,79,91,54,0.09,2,16,18
6,24,2006,75,84,68,67,84,96,54,0.01,3,9,-
6,25,2006,76,86,68,69,89,94,62,1.46,4,26,38
6,26,2006,74,81,69,69,89,100,69,0.25,7,9,-
6,27,2006,72,80,68,68,91,100,78,1.43,6,17,22
6,28,2006,74,86,62,64,84,100,43,0.00,2,8,-
6,29,2006,72,84,60,61,76,100,41,0.00,1,8,-
6,30,2006,69,82,57,55,67,94,30,0.00,2,7,-
7,1,2006,70,84,57,60,71,93,43,0.00,2,10,-
7,2,2006,78,91,64,64,71,94,37,0.00,3,9,-
7,3,2006,78,90,68,67,72,91,48,0.00,4,8,-
7,4,2006,78,93,64,67,79,100,42,0.01,2,13,21
7,5,2006,76,84,68,69,87,96,65,0.53,5,12,24
7,6,2006,70,77,64,63,81,97,46,0.13,3,9,-
7,7,2006,65,77,55,54,66,90,43,0.00,2,7,-
7,8,2006,67,80,55,55,70,97,38,0.00,1,7,-
7,9,2006,68,81,55,59,75,94,52,0.00,3,15,-
7,10,2006,72,87,60,64,76,94,51,0.00,4,12,-
7,11,2006,77,88,66,67,79,94,51,0.00,2,10,-
7,12,2006,80,90,71,70,82,94,53,0.01,4,12,20
7,13,2006,80,90,71,70,85,100,50,1.20,4,20,33
7,14,2006,78,88,69,70,86,100,53,0.00,3,8,-
7,15,2006,80,90,71,69,80,100,50,0.00,3,8,17
7,16,2006,76,90,64,63,65,94,38,0.00,2,8,-
7,17,2006,78,93,64,66,67,93,39,0.00,1,7,-
7,18,2006,80,96,66,66,77,100,29,0.00,1,7,-
7,19,2006,79,90,66,66,73,93,50,0.09,3,14,20
7,20,2006,76,88,64,66,85,100,49,0.00,2,10,-
7,21,2006,80,91,69,69,77,93,54,0.00,4,7,-
7,22,2006,76,86,69,69,83,96,53,0.39,5,14,17
7,23,2006,74,82,66,65,78,94,52,0.00,3,7,-
7,24,2006,74,84,64,65,79,100,49,0.00,2,10,-
7,25,2006,73,80,66,68,85,94,71,0.01,1,9,-
7,26,2006,76,88,64,66,87,100,45,0.00,1,8,-
7,27,2006,81,92,69,68,71,97,44,0.00,5,13,18
7,28,2006,81,91,71,69,70,93,47,0.00,5,14,18
7,29,2006,80,89,70,66,67,84,50,T,5,14,20
7,30,2006,80,92,67,66,66,90,41,0.00,3,9,13
7,31,2006,83,96,69,68,67,97,36,0.00,2,9,12
8,1,2006,83,96,70,68,63,93,33,0.00,2,10,13
8,2,2006,83,97,68,69,68,97,39,0.00,2,9,13
8,3,2006,84,97,71,71,67,93,40,T,4,13,18
