Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,22,25,19,19,87,96,78,0.00,-,-,-
1,2,2006,27,33,21,23,91,100,75,0.00,-,-,-
1,3,2006,24,32,14,19,87,96,72,0.00,-,-,-
1,4,2006,15,27,3,11,83,91,61,0.01,-,-,-
1,5,2006,28,30,25,28,98,100,88,0.20,-,-,-
1,6,2006,24,30,17,23,91,100,81,0.02,-,-,-
1,7,2006,12,21,3,6,80,92,53,0.00,-,-,-
1,8,2006,17,26,8,14,90,100,81,0.02,-,-,-
1,9,2006,25,35,15,24,99,100,95,0.10,-,-,-
1,10,2006,27,36,17,28,95,100,82,0.00,-,-,-
1,11,2006,27,39,15,26,100,100,100,0.21,-,-,-
1,12,2006,36,43,28,42,100,100,100,0.05,-,-,-
1,13,2006,33,39,27,40,100,100,100,0.00,-,-,-
1,14,2006,34,44,24,26,100,100,100,0.71,-,-,-
1,15,2006,12,23,1,2,76,100,61,0.07,-,-,-
1,16,2006,8,15,0,-1,76,100,63,0.00,-,-,-
1,17,2006,12,28,-2,9,94,100,87,0.00,-,-,-
1,18,2006,40,51,30,-,-,-,-,1.15,-,-,-
1,19,2006,32,36,27,18,61,81,42,0.05,-,-,-
1,20,2006,36,46,25,27,73,89,51,0.00,-,-,-
1,21,2006,38,52,21,28,75,92,54,0.09,-,-,-
1,22,2006,22,28,15,7,58,78,33,0.00,-,-,-
1,23,2006,24,30,18,21,86,92,74,0.21,-,-,-
1,24,2006,28,33,24,23,82,96,59,0.02,-,-,-
1,25,2006,30,33,28,28,90,100,78,0.10,-,-,-
1,26,2006,18,30,5,14,75,88,60,0.00,-,-,-
1,27,2006,14,30,-2,3,69,87,33,0.00,-,-,-
1,28,2006,29,48,10,18,71,88,43,0.00,-,-,-
1,29,2006,34,39,30,29,81,100,57,0.29,-,-,-
1,30,2006,32,33,32,31,95,100,92,0.12,-,-,-
1,31,2006,33,36,30,30,89,96,79,0.03,-,-,-
2,1,2006,32,34,30,26,81,96,67,0.02,-,-,-
2,2,2006,32,39,25,26,82,92,60,0.00,-,-,-
2,3,2006,36,42,30,35,96,100,82,0.45,-,-,-
2,4,2006,38,45,30,33,86,100,58,0.04,-,-,-
2,5,2006,40,45,36,35,80,100,53,0.80,-,-,-
2,6,2006,30,34,23,15,57,81,42,0.02,-,-,-
2,7,2006,18,21,16,9,65,81,51,0.00,-,-,-
2,8,2006,16,19,10,6,64,84,52,0.00,-,-,-
2,9,2006,12,19,5,3,69,87,46,0.00,-,-,-
2,10,2006,8,15,1,-4,65,87,36,0.00,-,-,-
2,11,2006,9,23,-5,-2,64,83,37,0.00,-,-,-
2,12,2006,12,21,3,0,59,84,36,0.00,-,-,-
2,13,2006,16,28,3,6,64,88,43,0.00,-,-,-
2,14,2006,30,35,25,18,62,75,46,0.00,-,-,-
2,15,2006,40,50,30,29,72,100,48,0.00,-,-,-
2,16,2006,36,45,28,33,93,100,76,0.00,-,-,-
2,17,2006,32,48,14,27,83,100,65,0.19,-,-,-
2,18,2006,6,12,0,-4,66,96,45,0.02,-,-,-
2,19,2006,10,19,0,6,80,100,60,0.00,-,-,-
2,20,2006,21,28,14,17,88,100,81,0.00,-,-,-
2,21,2006,19,28,10,17,98,100,92,0.01,-,-,-
2,22,2006,23,34,12,29,100,100,100,0.00,-,-,-
2,23,2006,27,35,19,-,-,-,-,0.00,-,-,-
2,24,2006,22,30,12,13,100,100,100,0.03,-,-,-
2,25,2006,10,17,3,8,100,100,100,0.18,-,-,-
2,26,2006,7,14,0,6,100,100,100,0.00,-,-,-
2,27,2006,6,12,0,5,98,100,91,0.00,-,-,-
2,28,2006,8,19,-4,3,99,100,95,0.00,-,-,-
3,1,2006,13,23,3,5,62,100,30,0.00,-,-,-
3,2,2006,26,35,16,11,58,81,31,0.00,-,-,-
3,3,2006,15,18,12,4,63,84,41,0.00,-,-,-
3,4,2006,22,25,18,14,71,89,55,0.00,-,-,-
3,5,2006,26,30,21,15,66,92,47,0.00,-,-,-
3,6,2006,26,33,19,13,61,81,46,0.00,-,-,-
3,7,2006,23,36,10,12,64,92,39,0.00,-,-,-
3,8,2006,23,37,9,12,61,88,33,0.00,-,-,-
3,9,2006,32,37,28,25,77,100,48,0.27,-,-,-
3,10,2006,42,50,34,38,90,97,71,0.05,-,-,-
3,11,2006,38,48,28,27,61,89,41,0.00,-,-,-
3,12,2006,36,48,24,31,86,100,48,0.06,-,-,-
3,13,2006,40,46,34,38,99,100,96,0.45,-,-,-
3,14,2006,41,50,32,32,71,97,41,0.45,-,-,-
3,15,2006,27,30,24,16,65,79,54,0.02,-,-,-
3,16,2006,24,28,21,13,64,88,51,0.01,-,-,-
3,17,2006,18,23,12,8,62,84,42,0.00,-,-,-
3,18,2006,16,23,9,7,65,88,48,0.00,-,-,-
3,19,2006,20,25,16,10,67,81,42,0.00,-,-,-
3,20,2006,17,25,9,7,63,88,43,0.00,-,-,-
3,21,2006,27,33,21,14,60,68,50,0.00,-,-,-
3,22,2006,32,36,27,20,63,69,54,0.00,-,-,-
3,23,2006,38,45,30,27,68,82,52,0.00,-,-,-
3,24,2006,40,46,33,30,70,85,48,0.00,-,-,-
3,25,2006,40,46,33,31,77,96,47,0.10,-,-,-
3,26,2006,36,43,27,27,73,92,49,0.00,-,-,-
3,27,2006,34,46,21,20,60,92,32,0.00,-,-,-
3,28,2006,37,53,21,20,57,92,23,0.00,-,-,-
3,29,2006,41,59,23,21,53,92,20,0.00,-,-,-
3,30,2006,45,63,27,23,53,85,19,0.00,-,-,-
3,31,2006,50,73,27,28,55,89,17,0.00,-,-,-
4,1,2006,50,64,37,41,81,97,56,0.33,-,-,-
4,2,2006,40,51,28,25,55,82,27,0.00,-,-,-
4,3,2006,41,55,27,20,51,89,16,0.02,-,-,-
4,4,2006,37,43,32,33,88,100,69,0.67,-,-,-
4,5,2006,34,43,25,25,72,96,43,0.00,-,-,-
4,6,2006,37,46,28,28,72,92,51,0.00,-,-,-
4,7,2006,40,46,34,34,80,96,56,0.23,-,-,-
4,8,2006,34,41,27,22,65,89,43,0.00,-,-,-
4,9,2006,34,50,21,22,63,96,35,0.00,-,-,-
4,10,2006,40,57,24,23,57,89,25,0.00,-,-,-
4,11,2006,46,64,28,27,55,85,23,0.00,-,-,-
4,12,2006,51,72,30,33,53,89,26,0.00,-,-,-
4,13,2006,56,68,44,42,61,82,36,0.02,-,-,-
4,14,2006,52,69,35,36,62,100,27,0.00,-,-,-
4,15,2006,57,66,46,44,68,83,42,0.05,-,-,-
4,16,2006,42,48,39,35,74,83,61,0.01,-,-,-
4,17,2006,42,46,39,35,73,86,58,0.03,-,-,-
4,18,2006,50,63,39,37,60,86,39,0.01,-,-,-
4,19,2006,56,71,42,30,42,76,16,0.00,-,-,-
4,20,2006,58,73,45,27,32,58,17,0.00,-,-,-
4,21,2006,52,69,36,34,54,82,21,0.00,-,-,-
4,22,2006,45,57,33,26,51,89,22,0.06,-,-,-
4,23,2006,42,46,39,41,95,100,86,0.84,-,-,-
4,24,2006,46,52,39,42,91,100,74,0.37,-,-,-
4,25,2006,46,54,37,38,79,100,50,0.03,-,-,-
4,26,2006,42,59,28,24,46,78,23,0.00,-,-,-
4,27,2006,45,55,33,26,52,89,25,0.01,-,-,-
4,28,2006,40,55,27,23,53,85,29,0.00,-,-,-
4,29,2006,46,66,27,23,49,89,17,0.00,-,-,-
4,30,2006,52,77,30,28,47,89,15,0.00,-,-,-
5,1,2006,50,66,35,28,48,89,16,0.00,-,-,-
5,2,2006,50,52,48,44,84,100,50,0.29,-,-,-
5,3,2006,54,60,48,53,95,100,86,0.08,-,-,-
5,4,2006,67,80,54,52,69,100,27,0.00,-,-,-
5,5,2006,63,75,51,46,60,100,32,0.00,-,-,-
5,6,2006,56,66,44,44,74,93,39,0.04,-,-,-
5,7,2006,45,59,33,28,54,96,24,0.00,-,-,-
5,8,2006,52,72,32,34,56,92,27,0.00,-,-,-
5,9,2006,56,73,41,37,57,93,23,1.02,-,-,-
5,10,2006,63,75,53,48,60,75,42,0.00,-,-,-
5,11,2006,64,72,57,50,62,84,44,0.00,-,-,-
5,12,2006,62,70,55,47,64,72,51,0.00,-,-,-
5,13,2006,51,55,48,46,81,93,66,0.42,-,-,-
