Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,40,48,32,32,68,100,54,0.00,5,12,16
1,2,2006,34,41,28,36,98,100,93,0.74,2,12,-
1,3,2006,40,42,39,39,96,100,87,0.02,3,10,-
1,4,2006,40,42,37,39,94,100,87,0.00,3,10,-
1,5,2006,42,50,35,35,77,100,58,0.00,6,22,28
1,6,2006,36,41,28,26,68,81,56,0.00,10,24,32
1,7,2006,32,37,26,21,66,75,52,0.00,4,12,-
1,8,2006,40,48,32,29,63,80,53,0.00,6,15,21
1,9,2006,55,68,42,37,54,66,35,0.00,9,21,32
1,10,2006,42,51,33,35,71,93,58,0.00,4,15,18
1,11,2006,46,51,41,41,87,100,71,0.20,6,10,-
1,12,2006,47,62,32,37,73,100,32,0.00,3,9,-
1,13,2006,50,62,37,44,73,88,48,0.00,7,21,32
1,14,2006,46,60,32,35,77,94,60,0.07,16,37,51
1,15,2006,32,37,26,16,53,64,38,0.00,18,26,43
1,16,2006,36,44,28,21,57,80,37,0.00,4,12,-
1,17,2006,36,39,32,30,82,100,65,0.04,3,12,16
1,18,2006,42,51,32,31,71,100,45,0.35,8,28,40
1,19,2006,38,51,26,26,61,86,44,0.00,4,10,-
1,20,2006,48,60,37,35,57,76,44,0.00,6,13,16
1,21,2006,48,62,33,35,64,81,51,0.00,8,24,39
1,22,2006,33,42,24,26,71,100,46,0.07,3,12,-
1,23,2006,37,41,33,36,97,100,87,0.23,2,7,-
1,24,2006,39,48,30,35,83,100,66,0.01,6,30,52
1,25,2006,38,42,32,25,63,75,52,0.00,19,36,47
1,26,2006,34,37,30,16,52,69,38,0.00,15,29,36
1,27,2006,34,48,21,17,54,86,23,0.00,2,9,-
1,28,2006,48,62,35,24,41,75,27,0.00,6,10,16
1,29,2006,50,62,37,39,68,93,50,0.03,5,16,24
1,30,2006,52,62,42,40,68,100,37,0.00,4,8,-
1,31,2006,44,50,37,34,73,100,57,0.07,12,26,34
2,1,2006,40,46,33,29,67,81,50,0.00,8,18,28
2,2,2006,46,59,32,32,61,87,36,0.00,4,15,22
2,3,2006,52,62,39,41,74,100,42,0.29,5,20,28
2,4,2006,42,46,39,40,85,100,66,0.14,3,15,25
2,5,2006,38,42,32,26,65,87,46,0.00,9,22,33
2,6,2006,37,42,32,17,48,69,29,0.00,14,25,34
2,7,2006,34,41,28,18,53,69,42,0.00,9,17,24
2,8,2006,29,35,23,18,59,74,44,0.00,6,14,22
2,9,2006,30,35,24,16,58,80,35,0.00,8,18,28
2,10,2006,34,41,26,17,54,75,39,0.00,4,7,-
2,11,2006,34,37,32,30,90,100,56,0.03,2,7,-
2,12,2006,32,35,28,24,77,100,55,0.02,10,20,26
2,13,2006,29,37,21,17,59,74,44,0.01,9,21,28
2,14,2006,35,44,26,23,60,70,49,0.00,6,13,16
2,15,2006,47,59,35,29,53,87,31,0.00,7,10,16
2,16,2006,48,64,33,37,61,93,42,0.00,5,15,20
2,17,2006,48,60,35,31,51,63,39,0.00,14,36,48
2,18,2006,25,35,15,16,58,69,46,0.00,11,21,29
2,19,2006,21,32,10,2,48,67,30,0.00,6,13,17
2,20,2006,34,41,26,11,42,64,29,0.00,1,6,-
2,21,2006,34,46,23,21,60,86,37,0.00,4,16,21
2,22,2006,36,41,30,32,88,100,65,0.04,2,6,-
2,23,2006,43,51,35,29,66,100,32,0.00,5,23,33
2,24,2006,35,42,26,19,53,93,29,0.01,12,28,34
2,25,2006,42,62,23,21,46,80,30,0.00,8,26,37
2,26,2006,28,33,23,12,49,64,32,0.00,12,23,36
2,27,2006,27,35,19,18,62,87,48,0.00,7,20,26
2,28,2006,38,46,30,22,59,93,32,0.00,6,18,25
3,1,2006,42,53,32,22,50,75,33,0.00,1,7,-
3,2,2006,43,51,35,32,71,87,45,0.00,3,24,33
3,3,2006,36,41,32,20,57,70,39,0.00,17,25,34
3,4,2006,36,44,28,19,53,64,34,0.00,17,28,34
3,5,2006,40,50,30,21,51,70,32,0.00,10,18,25
3,6,2006,38,44,33,29,65,81,49,0.00,2,7,-
3,7,2006,40,51,30,17,43,65,22,0.00,5,17,22
3,8,2006,37,50,24,23,52,80,32,0.00,2,8,-
3,9,2006,54,66,41,35,50,76,34,0.00,4,16,18
3,10,2006,64,75,53,43,46,68,25,0.00,13,22,29
3,11,2006,56,73,39,42,56,87,33,0.00,3,12,17
3,12,2006,58,64,53,50,75,100,52,0.03,5,12,18
3,13,2006,64,82,46,53,67,100,35,0.00,4,17,25
3,14,2006,55,68,41,32,45,68,28,0.00,17,34,45
3,15,2006,42,50,35,22,45,70,32,0.00,21,31,44
