Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,26,28,23,22,90,96,81,0.03,0,5,-
1,2,2006,28,37,19,25,92,100,70,0.00,0,4,-
1,3,2006,26,33,17,25,84,100,64,0.00,2,9,17
1,4,2006,19,30,8,14,76,95,38,0.00,0,4,-
1,5,2006,30,33,26,27,94,100,87,0.11,0,5,-
1,6,2006,26,32,21,23,81,100,68,0.00,3,13,22
1,7,2006,18,27,10,9,69,92,34,0.00,4,8,-
1,8,2006,23,30,16,17,87,96,69,0.02,0,0,-
1,9,2006,32,41,23,27,90,100,67,0.03,1,12,25
1,10,2006,30,39,19,22,69,96,48,0.00,6,15,24
1,11,2006,29,39,19,30,93,100,76,0.27,0,6,-
1,12,2006,36,45,26,32,91,100,63,0.05,2,9,17
1,13,2006,34,42,26,29,89,100,76,0.00,0,4,-
1,14,2006,37,46,26,37,98,100,78,1.06,1,14,29
1,15,2006,14,26,3,8,72,89,59,0.20,10,17,37
1,16,2006,11,19,3,1,60,66,54,0.00,11,24,33
1,17,2006,16,28,3,12,70,92,47,0.02,1,6,-
1,18,2006,40,53,28,36,92,100,52,1.39,4,23,37
1,19,2006,32,39,25,19,62,92,45,0.00,11,23,31
1,20,2006,38,54,23,29,82,96,49,0.00,0,6,-
1,21,2006,42,55,28,29,73,100,48,0.02,6,24,44
1,22,2006,27,33,21,10,53,82,29,0.00,4,10,18
1,23,2006,26,30,21,25,93,100,69,0.38,0,0,-
1,24,2006,26,33,18,23,89,100,73,0.00,1,7,-
1,25,2006,30,37,24,27,84,100,70,0.00,1,7,-
1,26,2006,25,32,16,15,63,72,56,0.00,7,15,23
1,27,2006,21,36,6,8,66,88,26,0.00,1,6,-
1,28,2006,33,48,18,22,74,96,37,0.00,1,12,26
1,29,2006,30,37,24,30,93,100,73,0.40,0,4,-
1,30,2006,32,33,30,32,97,100,89,0.04,0,5,-
1,31,2006,32,34,30,30,97,100,85,0.18,1,5,-
2,1,2006,31,34,28,28,84,100,70,0.01,4,9,-
2,2,2006,32,39,26,28,91,100,65,0.00,0,6,-
2,3,2006,36,44,32,35,98,100,65,0.57,1,13,21
2,4,2006,37,46,28,33,85,100,58,0.33,3,10,-
