Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,42,52,31,30,64,82,46,0.00,2,12,12
1,2,2006,35,42,27,36,91,100,82,0.48,1,8,9
1,3,2006,44,46,41,39,90,100,79,0.00,2,7,9
1,4,2006,42,45,39,38,86,92,79,0.00,4,12,13
1,5,2006,46,55,37,34,69,100,38,0.01,5,14,16
1,6,2006,34,43,25,21,50,59,40,0.00,7,14,25
1,7,2006,32,41,22,16,53,68,37,0.00,6,14,17
1,8,2006,39,54,23,25,60,85,35,0.00,6,15,18
1,9,2006,57,67,46,37,52,66,37,0.00,7,17,29
1,10,2006,47,56,37,35,68,85,50,0.00,2,9,10
1,11,2006,44,48,40,41,83,100,65,0.35,2,8,9
1,12,2006,50,62,37,36,64,96,32,0.00,5,12,15
1,13,2006,48,62,34,47,83,100,66,0.05,7,24,32
1,14,2006,47,61,33,34,67,93,40,0.48,10,23,40
1,15,2006,37,44,30,7,36,53,19,0.00,9,25,40
1,16,2006,36,45,27,15,47,69,25,0.00,3,10,13
1,17,2006,40,45,34,32,68,92,44,0.06,3,10,20
1,18,2006,45,58,32,34,65,100,30,0.59,12,25,37
1,19,2006,43,58,28,22,48,69,26,0.00,8,16,17
1,20,2006,51,64,37,32,53,70,36,0.00,9,16,18
1,21,2006,53,67,38,35,51,65,36,0.00,10,17,25
1,22,2006,34,43,25,26,66,96,36,0.32,2,9,10
1,23,2006,39,44,33,35,92,100,83,0.20,3,12,14
1,24,2006,44,52,35,37,71,100,41,0.01,7,20,35
1,25,2006,39,45,33,18,50,70,29,0.00,11,25,38
1,26,2006,36,43,28,8,32,44,19,0.00,10,22,36
1,27,2006,35,49,20,10,39,60,17,0.00,5,12,16
1,28,2006,49,65,32,20,33,47,19,0.00,8,12,14
1,29,2006,52,59,44,41,64,89,39,0.04,11,20,28
1,30,2006,49,63,34,40,68,100,36,0.00,2,10,13
1,31,2006,44,51,36,29,55,71,39,0.01,8,18,35
2,1,2006,38,47,28,23,59,75,42,0.00,5,14,-
2,2,2006,42,57,27,31,62,85,38,0.10,4,13,18
2,3,2006,54,65,42,43,67,96,37,0.57,6,14,23
2,4,2006,46,50,42,41,75,100,49,0.44,9,14,23
2,5,2006,39,44,33,20,49,64,33,0.00,8,17,29
2,6,2006,39,46,32,13,38,56,19,0.00,9,17,29
2,7,2006,38,48,28,10,36,53,18,0.00,4,10,16
2,8,2006,30,41,19,15,55,84,25,0.00,2,12,17
