Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,42,51,32,28,62,87,35,0.00,7,15,24
1,2,2006,36,41,30,35,90,100,70,0.13,1,7,-
1,3,2006,42,48,37,41,89,100,76,0.00,6,16,21
1,4,2006,48,57,39,41,83,93,59,0.00,5,13,17
1,5,2006,42,50,33,32,69,81,57,0.00,10,20,29
1,6,2006,30,35,26,22,67,81,56,0.00,11,21,29
1,7,2006,32,41,24,18,64,74,36,0.00,10,16,21
1,8,2006,40,55,26,24,56,80,33,0.00,6,12,18
1,9,2006,46,60,33,40,72,93,48,0.00,6,16,25
1,10,2006,46,57,35,40,82,100,59,0.00,2,13,-
1,11,2006,50,57,42,42,84,100,54,0.08,6,24,34
1,12,2006,45,60,30,31,66,100,22,0.00,5,9,-
1,13,2006,44,57,30,41,85,100,67,0.14,4,23,33
1,14,2006,35,44,26,24,71,81,64,0.00,18,38,54
1,15,2006,33,42,24,13,47,69,25,0.00,17,34,47
1,16,2006,39,55,23,26,69,86,33,0.00,2,14,17
1,17,2006,42,50,33,37,89,100,57,0.38,4,16,23
1,18,2006,39,48,30,26,68,100,38,0.10,14,28,40
1,19,2006,43,60,26,23,50,80,20,0.00,8,15,20
1,20,2006,44,60,28,30,60,93,29,0.00,4,15,20
1,21,2006,45,55,35,38,78,94,61,0.00,3,14,21
1,22,2006,34,39,30,28,81,100,45,0.29,3,10,-
1,23,2006,44,57,30,41,95,100,82,0.00,3,16,23
1,24,2006,43,51,35,33,67,93,40,0.00,9,24,38
1,25,2006,34,39,28,19,59,81,41,0.00,24,34,58
1,26,2006,30,35,26,16,58,69,41,0.00,18,30,40
1,27,2006,34,51,17,17,60,93,20,0.00,1,6,-
1,28,2006,45,62,28,22,46,74,18,0.00,3,13,-
1,29,2006,52,60,44,43,76,100,49,0.08,10,22,30
1,30,2006,44,57,32,37,75,100,41,0.02,3,17,23
1,31,2006,36,39,32,27,73,93,69,0.00,13,26,33
2,1,2006,38,53,24,22,60,86,21,0.00,5,14,18
2,2,2006,40,53,26,30,72,93,35,0.01,4,16,21
2,3,2006,50,60,35,39,77,100,42,0.03,5,15,22
