Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,64,95,33,37,85,100,12,0.00,3,7,-
1,2,2006,44,55,32,46,97,100,77,0.19,4,9,-
1,3,2006,46,50,41,45,95,100,81,0.01,5,16,-
1,4,2006,40,42,39,38,87,93,81,0.00,9,15,-
1,5,2006,46,51,42,41,87,100,62,0.00,6,15,-
1,6,2006,38,44,33,32,72,93,56,0.07,11,18,23
1,7,2006,33,42,24,22,62,80,42,0.00,8,12,-
1,8,2006,44,53,35,30,60,70,41,0.00,9,21,28
1,9,2006,57,66,48,44,65,82,52,0.00,15,18,25
1,10,2006,47,53,41,40,83,100,58,0.00,6,12,-
1,11,2006,55,68,42,51,86,100,64,0.01,5,14,-
1,12,2006,52,62,42,50,91,100,55,0.00,6,9,-
1,13,2006,58,66,50,56,90,100,73,0.01,7,15,24
1,14,2006,48,64,32,46,86,100,70,0.54,15,30,40
1,15,2006,36,42,30,14,42,70,27,0.00,21,30,44
1,16,2006,35,42,28,25,63,93,38,0.00,6,10,-
1,17,2006,48,62,35,46,83,94,67,0.00,6,17,20
1,18,2006,52,68,37,43,70,100,37,0.26,19,37,46
1,19,2006,46,57,35,28,53,71,31,0.00,8,10,-
1,20,2006,52,62,42,34,51,76,34,0.00,13,18,-
1,21,2006,55,62,48,50,79,94,50,0.03,13,20,25
1,22,2006,44,46,41,34,73,100,57,0.18,11,16,22
1,23,2006,44,50,39,45,98,100,93,0.06,6,13,-
1,24,2006,46,50,41,39,79,100,50,0.00,8,12,-
1,25,2006,42,48,35,24,45,87,32,0.00,14,26,34
1,26,2006,37,42,32,13,40,55,26,0.00,12,22,28
1,27,2006,36,44,28,21,57,81,27,0.00,8,13,-
1,28,2006,46,59,33,22,39,65,27,0.00,9,17,-
1,29,2006,53,64,42,45,70,82,46,0.00,11,25,33
1,30,2006,54,62,46,51,87,100,59,0.00,6,12,-
1,31,2006,46,51,39,40,79,100,47,0.37,8,22,31
