Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,45,58,31,28,59,85,32,0.00,4,13,15
1,2,2006,38,43,32,39,85,100,70,0.85,4,18,24
1,3,2006,50,58,42,43,84,100,67,0.02,4,9,12
1,4,2006,48,54,42,40,78,89,66,0.00,4,9,13
1,5,2006,48,57,39,35,72,100,43,T,8,16,23
1,6,2006,37,47,26,23,51,64,37,0.00,10,18,24
1,7,2006,32,44,19,19,64,91,37,0.00,6,16,20
1,8,2006,41,57,24,25,55,81,28,0.00,6,16,22
1,9,2006,56,68,43,42,66,86,45,0.00,8,16,22
1,10,2006,47,57,37,40,78,100,55,0.00,6,15,20
1,11,2006,53,59,46,49,83,100,66,0.45,4,9,12
1,12,2006,50,60,39,45,78,100,55,0.00,2,7,8
1,13,2006,53,67,39,47,82,100,63,0.19,6,29,37
1,14,2006,45,56,34,30,65,86,44,0.01,15,33,46
1,15,2006,39,48,30,13,33,47,19,0.00,10,21,28
1,16,2006,44,57,30,25,54,78,30,0.00,2,8,10
1,17,2006,52,67,36,40,71,85,56,0.02,9,23,38
1,18,2006,47,62,31,33,64,96,31,0.38,15,36,41
1,19,2006,44,61,27,24,53,81,25,0.00,6,14,17
1,20,2006,49,64,33,30,54,82,26,0.00,8,12,16
1,21,2006,48,58,38,47,78,96,59,0.20,8,16,21
1,22,2006,43,50,35,30,67,92,42,0.10,10,20,24
1,23,2006,42,50,34,39,93,100,86,0.03,6,15,18
1,24,2006,51,60,41,40,70,100,39,0.00,7,20,24
1,25,2006,42,51,33,18,43,54,31,0.00,14,28,35
1,26,2006,38,45,30,16,42,56,27,0.00,10,22,28
1,27,2006,34,50,18,13,50,84,16,0.00,4,12,17
1,28,2006,44,61,27,21,45,68,22,0.00,8,15,17
1,29,2006,53,61,44,46,63,83,42,0.01,13,35,48
1,30,2006,55,64,46,46,70,100,39,0.00,3,16,21
1,31,2006,41,52,29,30,59,80,38,0.03,14,29,36
2,1,2006,37,52,22,24,61,92,30,0.00,4,12,16
2,2,2006,44,60,28,32,62,93,30,0.22,5,13,17
2,3,2006,54,66,41,45,72,100,44,0.08,6,17,20
2,4,2006,52,64,40,48,83,100,65,0.38,9,29,36
2,5,2006,37,45,29,21,54,72,36,0.00,13,23,30
2,6,2006,37,48,25,19,51,75,26,0.00,9,20,24
2,7,2006,39,50,27,13,41,63,19,0.00,7,15,20
2,8,2006,35,47,22,15,51,74,27,0.00,5,15,24
2,9,2006,36,43,28,14,55,85,24,0.00,7,20,24
2,10,2006,35,51,19,16,52,80,24,0.00,6,21,25
2,11,2006,37,41,32,32,76,100,51,0.57,6,12,13
2,12,2006,33,40,25,24,66,92,40,T,9,18,24
2,13,2006,31,41,20,18,62,85,38,0.00,7,20,25
2,14,2006,39,56,21,20,55,84,26,0.00,8,18,22
2,15,2006,47,64,30,26,47,69,25,0.00,7,14,17
2,16,2006,51,69,32,34,58,89,27,0.00,8,24,29
2,17,2006,56,69,42,35,47,72,22,0.00,13,24,29
2,18,2006,35,43,27,26,68,92,43,0.14,7,18,22
2,19,2006,26,35,17,9,48,61,35,0.00,6,13,17
2,20,2006,38,48,28,27,71,92,49,0.01,3,13,15
2,21,2006,44,57,31,30,59,85,33,0.00,3,14,16
2,22,2006,41,49,32,32,69,89,48,0.04,4,13,15
