Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,40,50,30,34,93,100,61,0.00,1,8,-
1,2,2006,42,55,30,42,97,100,72,0.41,3,14,-
1,3,2006,45,48,42,44,92,100,79,0.51,6,13,21
1,4,2006,41,43,39,37,83,93,76,0.00,6,12,-
1,5,2006,48,55,42,40,81,93,49,0.00,7,12,-
1,6,2006,40,45,34,30,66,86,52,0.01,8,12,20
1,7,2006,32,41,24,21,60,81,47,0.00,5,13,-
1,8,2006,44,53,35,29,57,70,43,0.00,10,20,24
1,9,2006,57,66,48,43,64,83,50,0.00,14,17,22
1,10,2006,46,53,39,40,82,100,53,0.00,4,14,-
1,11,2006,54,66,42,48,86,100,63,0.02,3,15,-
1,12,2006,55,66,44,48,88,100,47,0.01,5,9,-
1,13,2006,56,66,46,53,88,100,70,0.00,5,14,23
1,14,2006,48,64,33,45,84,94,65,0.75,15,25,46
1,15,2006,38,45,32,12,36,52,22,0.00,18,29,40
1,16,2006,38,46,30,23,59,88,36,0.00,4,9,-
1,17,2006,49,66,35,45,79,90,64,0.00,7,20,28
1,18,2006,54,68,37,44,70,94,33,0.61,19,29,43
1,19,2006,46,57,35,27,50,70,29,0.00,8,15,-
1,20,2006,54,64,43,34,51,71,31,0.00,11,17,22
1,21,2006,56,62,48,48,75,90,46,0.03,11,20,28
1,22,2006,44,48,41,34,72,96,46,0.19,9,14,20
1,23,2006,44,50,39,43,93,100,87,0.04,6,13,-
1,24,2006,48,52,43,38,71,93,43,0.00,6,13,-
1,25,2006,44,51,37,24,44,71,31,0.00,13,26,32
1,26,2006,38,44,33,13,37,52,22,0.00,11,21,30
1,27,2006,37,46,28,15,46,66,21,0.00,6,9,17
1,28,2006,48,60,35,22,40,52,25,0.00,10,14,20
1,29,2006,53,64,42,45,68,81,47,0.00,10,18,24
1,30,2006,56,64,48,49,85,97,52,0.00,6,9,-
1,31,2006,48,54,39,42,83,100,43,0.52,5,21,33
2,1,2006,39,48,30,29,67,89,46,0.00,3,8,-
2,2,2006,47,60,34,37,66,89,42,0.01,5,10,-
2,3,2006,59,70,46,51,72,93,45,0.01,12,21,29
2,4,2006,56,66,46,52,86,100,62,0.31,7,20,25
2,5,2006,42,46,37,26,52,68,39,0.00,15,21,29
2,6,2006,42,48,35,21,44,59,29,0.00,14,20,28
2,7,2006,38,48,27,22,54,89,30,0.00,5,9,-
2,8,2006,36,45,26,20,58,82,34,0.00,4,6,-
2,9,2006,33,39,26,20,62,89,38,0.00,3,13,-
2,10,2006,34,48,21,18,51,78,28,0.00,4,16,-
2,11,2006,42,45,39,36,83,93,49,0.40,7,13,-
2,12,2006,36,39,32,27,73,93,52,0.00,12,16,22
2,13,2006,33,42,24,16,51,75,31,0.00,7,14,-
2,14,2006,43,53,33,23,47,61,32,0.00,10,14,-
2,15,2006,50,64,37,27,40,65,22,0.00,11,17,22
2,16,2006,56,69,43,39,53,74,32,0.00,10,17,21
2,17,2006,59,72,45,39,52,75,22,0.00,14,20,25
2,18,2006,37,44,27,29,73,93,43,0.13,6,13,18
2,19,2006,26,32,19,6,45,66,26,0.00,8,16,24
2,20,2006,36,43,28,25,72,86,43,0.00,6,15,-
2,21,2006,44,50,37,32,66,82,44,0.00,6,8,-
2,22,2006,41,50,32,37,84,93,71,0.02,3,12,-
2,23,2006,44,54,35,38,84,100,57,0.03,3,10,-
2,24,2006,44,53,36,20,41,57,20,0.00,8,17,28
2,25,2006,46,63,28,29,51,81,27,0.00,9,23,29
2,26,2006,37,44,30,6,29,35,21,0.00,14,21,31
2,27,2006,34,46,21,11,37,61,22,0.00,8,24,30
2,28,2006,38,46,30,28,63,89,41,0.00,6,12,-
3,1,2006,42,51,32,29,63,93,29,0.00,5,10,-
3,2,2006,58,78,39,43,64,93,37,0.00,8,21,26
3,3,2006,44,51,37,21,45,82,24,0.00,9,13,24
3,4,2006,41,52,30,15,36,55,21,0.00,13,21,26
3,5,2006,44,53,34,19,41,65,24,0.00,10,15,23
3,6,2006,41,45,36,31,71,93,44,0.03,3,10,-
3,7,2006,40,51,28,25,62,85,24,0.00,6,14,20
3,8,2006,42,57,26,23,50,85,24,0.00,3,10,-
3,9,2006,60,71,48,39,45,65,33,0.00,13,21,30
3,10,2006,70,77,64,54,59,75,43,0.00,18,25,34
3,11,2006,61,69,53,46,61,96,37,0.00,8,15,21
3,12,2006,68,82,53,55,66,90,42,0.00,8,16,24
3,13,2006,74,84,64,58,62,87,37,0.00,13,20,25
3,14,2006,62,71,52,36,41,76,13,0.00,17,29,38
3,15,2006,48,57,37,18,30,57,20,0.00,14,25,37
3,16,2006,48,62,33,27,53,89,15,0.00,2,10,-
3,17,2006,45,55,32,34,66,93,35,0.00,5,15,22
3,18,2006,42,51,33,12,33,89,15,0.00,8,18,28
3,19,2006,44,54,34,14,31,42,19,0.00,9,15,23
3,20,2006,44,55,32,24,44,66,21,0.00,6,15,20
3,21,2006,39,45,33,33,85,93,52,0.09,6,14,20
3,22,2006,41,50,32,27,69,89,32,0.02,9,22,28
3,23,2006,40,51,28,26,56,79,32,0.00,4,10,-
3,24,2006,46,53,39,32,61,83,43,0.00,5,14,17
3,25,2006,44,48,37,35,72,93,58,0.03,5,14,-
3,26,2006,44,53,35,26,53,77,31,0.00,8,13,20
3,27,2006,49,59,39,26,47,71,24,0.00,7,15,22
3,28,2006,52,64,39,39,66,97,28,0.08,5,15,20
3,29,2006,51,63,39,41,84,100,43,0.00,2,16,18
3,30,2006,52,68,35,35,64,100,21,0.00,2,15,16
3,31,2006,62,77,46,43,51,74,34,0.00,8,20,22
4,1,2006,72,82,54,52,57,78,34,0.01,15,20,26
4,2,2006,55,66,44,45,64,89,45,0.00,4,10,-
4,3,2006,64,73,54,54,78,94,56,0.13,9,20,32
4,4,2006,57,64,51,30,39,75,19,0.01,13,17,26
4,5,2006,55,63,48,27,36,46,24,0.00,10,21,26
4,6,2006,53,69,37,34,49,82,22,0.00,4,13,17
4,7,2006,70,82,59,44,41,60,25,0.00,10,24,31
4,8,2006,59,73,44,50,79,93,54,0.35,10,15,24
4,9,2006,47,57,35,32,65,93,30,0.15,9,16,22
4,10,2006,48,64,33,30,52,92,24,0.00,3,10,21
4,11,2006,54,71,37,35,51,93,24,0.00,4,14,18
4,12,2006,62,75,51,48,59,89,35,0.00,9,16,18
4,13,2006,69,82,57,53,66,94,35,0.71,11,16,32
4,14,2006,68,78,57,56,75,97,45,0.01,3,15,-
4,15,2006,72,87,57,59,79,97,36,0.19,6,15,24
4,16,2006,62,73,53,49,70,97,30,0.00,2,9,-
4,17,2006,52,60,44,48,86,96,67,0.04,8,13,18
4,18,2006,52,63,42,43,76,93,50,0.05,3,14,-
4,19,2006,62,78,48,47,64,89,29,0.03,6,10,18
4,20,2006,66,82,50,44,52,89,21,0.01,4,10,-
4,21,2006,66,73,60,56,77,94,56,0.01,6,9,-
4,22,2006,68,75,61,62,87,94,69,0.00,8,29,40
4,23,2006,70,81,57,60,86,97,44,0.00,7,12,-
4,24,2006,70,82,60,52,60,94,24,0.00,5,13,18
4,25,2006,63,75,53,54,80,94,46,0.00,6,10,-
4,26,2006,,,,,,,,,,,
4,27,2006,58,71,50,43,58,86,33,0.00,5,8,-
4,28,2006,57,68,46,42,61,90,31,0.00,5,15,25
4,29,2006,52,64,41,38,56,86,37,0.00,7,15,21
4,30,2006,54,66,41,32,45,82,22,0.00,8,20,28
5,1,2006,56,64,48,39,53,74,40,0.00,11,17,25
5,2,2006,60,79,41,42,53,89,24,0.00,4,10,-
5,3,2006,66,78,55,54,75,94,42,0.11,5,15,20
5,4,2006,68,82,55,50,55,84,26,0.00,6,10,-
5,5,2006,72,82,62,56,60,79,42,0.01,4,7,-
5,6,2006,73,82,64,59,74,94,33,0.04,5,12,18
5,7,2006,58,64,52,46,65,94,45,0.60,8,17,24
5,8,2006,55,59,53,52,86,94,75,0.75,12,20,29
5,9,2006,60,69,50,44,62,86,35,0.00,5,14,17
5,10,2006,65,77,53,51,61,83,43,0.00,6,13,16
5,11,2006,70,80,62,62,73,90,61,0.76,10,30,39
5,12,2006,64,75,54,50,64,93,40,0.00,7,13,-
5,13,2006,64,75,53,51,65,93,35,0.00,6,15,25
5,14,2006,62,75,51,54,79,94,49,0.26,4,22,31
5,15,2006,66,75,59,56,78,94,45,0.01,5,13,17
5,16,2006,62,72,52,50,69,94,39,0.27,10,16,25
5,17,2006,64,78,51,49,59,89,33,0.00,4,13,17
5,18,2006,68,79,57,54,62,84,39,0.07,9,20,25
5,19,2006,64,73,57,47,56,87,35,0.01,13,20,30
5,20,2006,68,82,54,51,54,86,35,0.00,8,20,29
5,21,2006,66,82,50,48,49,93,29,0.00,7,18,26
5,22,2006,64,73,55,42,46,78,29,0.00,7,15,18
5,23,2006,60,70,48,41,54,86,29,0.00,6,15,18
5,24,2006,62,79,46,45,56,93,24,0.00,4,14,-
5,25,2006,70,84,55,65,64,94,51,0.05,7,17,29
5,26,2006,80,91,69,66,70,87,38,0.66,11,31,48
5,27,2006,76,84,68,64,69,90,47,0.00,9,13,17
5,28,2006,75,86,66,64,71,90,38,0.00,6,13,18
5,29,2006,73,84,64,62,75,94,46,0.00,5,8,-
5,30,2006,77,91,64,63,62,84,39,0.00,4,10,-
5,31,2006,80,86,73,68,71,88,55,0.00,6,12,-
6,1,2006,80,90,72,68,64,84,46,0.00,8,15,-
6,2,2006,82,91,73,68,69,82,46,0.00,12,16,21
6,3,2006,68,75,61,66,83,90,64,0.00,11,21,28
6,4,2006,69,81,57,57,68,93,42,0.00,3,14,16
6,5,2006,66,73,60,60,81,94,61,0.00,4,10,16
6,6,2006,67,77,59,60,80,94,60,0.01,5,15,22
6,7,2006,72,84,61,58,65,90,35,0.15,8,20,23
6,8,2006,72,84,60,62,75,94,42,0.14,4,14,17
6,9,2006,73,82,64,63,79,94,47,0.00,2,12,17
6,10,2006,71,81,62,54,58,94,34,0.00,5,17,29
6,11,2006,70,75,64,52,55,76,40,0.00,4,13,20
6,12,2006,66,70,60,61,87,94,76,0.39,4,16,-
6,13,2006,68,82,55,57,75,100,47,0.00,3,8,-
6,14,2006,68,73,64,64,90,94,68,2.32,7,18,26
6,15,2006,72,82,61,58,68,94,35,0.01,6,13,-
6,16,2006,70,82,57,55,62,93,31,0.00,3,12,16
6,17,2006,72,87,57,59,60,90,41,0.00,4,10,-
6,18,2006,78,89,69,62,57,73,44,0.00,9,15,17
6,19,2006,79,88,71,64,59,75,43,0.00,13,17,22
