Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,40,48,32,34,79,100,58,0.00,1,7,-
1,2,2006,34,41,26,35,100,100,93,0.23,1,8,-
1,3,2006,40,42,39,40,97,100,87,0.00,6,13,21
1,4,2006,40,42,37,38,92,100,81,0.00,3,9,-
1,5,2006,43,51,35,38,85,100,58,0.00,4,9,-
1,6,2006,32,41,23,27,74,93,49,0.00,3,13,18
1,7,2006,27,37,17,20,79,100,52,0.00,2,10,16
1,8,2006,38,50,26,28,70,86,47,0.00,4,12,16
1,9,2006,52,64,41,40,66,93,49,0.00,8,14,22
1,10,2006,42,51,32,36,80,100,58,0.00,2,6,-
1,11,2006,44,48,41,43,97,100,76,0.22,2,12,16
1,12,2006,47,62,32,39,82,100,39,0.00,2,9,-
1,13,2006,46,59,33,45,97,100,82,0.00,2,12,16
1,14,2006,48,60,35,39,81,100,56,0.05,8,23,36
1,15,2006,35,42,28,13,41,60,29,0.00,10,22,33
1,16,2006,34,42,26,21,56,93,36,0.00,2,9,-
1,17,2006,38,44,32,34,90,100,80,0.00,2,15,30
1,18,2006,46,60,32,36,73,100,45,0.22,13,30,39
1,19,2006,42,55,28,27,57,86,38,0.00,5,12,17
1,20,2006,50,62,37,35,61,81,42,0.00,8,14,18
1,21,2006,50,64,37,39,65,81,51,0.00,8,17,28
1,22,2006,34,41,28,28,75,100,45,0.11,5,14,18
1,23,2006,36,41,32,36,99,100,93,0.11,2,12,16
1,24,2006,40,48,32,37,91,100,76,0.00,2,16,37
1,25,2006,38,42,33,24,58,81,42,0.00,10,26,36
1,26,2006,32,41,23,14,47,80,26,0.00,8,14,23
1,27,2006,30,46,15,16,63,93,23,0.00,2,8,-
1,28,2006,47,62,32,24,47,65,26,0.00,5,9,-
1,29,2006,48,60,37,41,76,100,57,0.01,7,20,32
1,30,2006,48,62,33,41,79,100,37,0.00,3,10,-
1,31,2006,39,50,28,34,73,93,47,0.00,5,17,25
2,1,2006,34,46,21,26,76,100,46,0.00,2,8,16
2,2,2006,42,55,28,33,73,93,44,0.00,1,8,-
2,3,2006,52,62,41,45,91,100,55,0.22,5,15,20
2,4,2006,44,48,41,43,94,100,76,0.34,4,13,28
2,5,2006,36,42,30,27,70,100,42,0.00,7,21,29
2,6,2006,36,44,28,20,55,80,29,0.00,9,18,30
