Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,49,59,39,36,68,93,42,0.00,1,8,-
1,2,2006,42,53,32,44,93,100,67,0.44,1,9,-
1,3,2006,50,55,44,47,95,100,82,0.04,4,13,16
1,4,2006,46,51,42,44,93,100,76,0.00,4,10,18
1,5,2006,50,62,39,44,83,100,52,0.09,5,8,-
1,6,2006,39,46,30,36,86,100,61,0.21,6,16,21
1,7,2006,34,44,24,26,78,100,49,0.00,2,10,-
1,8,2006,45,57,33,33,64,87,41,0.00,6,15,22
1,9,2006,56,69,44,48,75,100,54,0.00,10,15,21
1,10,2006,50,59,42,45,81,100,59,0.00,2,7,-
1,11,2006,48,60,46,46,95,100,76,0.00,0,5,-
1,12,2006,53,60,46,51,97,100,77,0.00,1,5,-
1,13,2006,58,69,48,58,95,100,78,0.00,4,16,24
1,14,2006,50,64,37,41,76,100,49,0.07,10,26,37
1,15,2006,40,48,33,17,42,56,25,0.00,9,22,26
1,16,2006,40,53,28,27,61,93,32,0.00,1,7,-
1,17,2006,52,68,35,46,84,100,52,0.01,2,20,30
1,18,2006,50,69,32,39,70,100,34,0.28,14,22,36
1,19,2006,46,62,30,29,55,93,30,0.00,5,10,-
1,20,2006,52,66,39,36,60,87,35,0.00,7,12,18
1,21,2006,44,48,39,44,96,100,87,0.00,6,8,-
1,22,2006,,,,,,,,,,,
1,23,2006,46,51,42,49,100,100,100,0.00,6,10,16
1,24,2006,50,57,44,45,79,100,58,0.00,4,14,21
1,25,2006,45,53,37,26,47,66,37,0.00,9,18,31
1,26,2006,37,46,28,19,49,69,31,0.00,6,15,23
1,27,2006,35,51,19,18,58,93,22,0.00,1,6,-
1,28,2006,46,62,30,25,50,70,29,0.00,5,14,20
1,29,2006,50,64,35,48,82,100,61,0.00,8,22,31
1,30,2006,56,64,46,51,89,100,56,0.00,4,8,-
1,31,2006,45,53,35,39,73,100,44,0.03,6,14,30
2,1,2006,38,51,26,30,74,100,44,0.00,2,9,-
