Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,20,25,14,16,85,92,77,0.03,2,9,10
1,2,2006,29,34,23,24,89,100,78,T,2,8,9
1,3,2006,18,25,11,18,92,100,84,0.00,4,9,12
1,4,2006,23,35,10,14,67,96,38,0.06,7,20,28
1,5,2006,33,35,30,29,82,100,63,0.27,8,16,21
1,6,2006,24,33,15,18,82,92,71,0.11,7,14,17
1,7,2006,13,22,3,7,70,87,52,T,3,12,15
1,8,2006,25,31,18,20,82,92,72,0.05,5,13,16
1,9,2006,34,39,28,28,77,85,69,T,10,21,26
1,10,2006,33,38,28,24,65,75,54,T,6,15,20
1,11,2006,38,44,31,33,77,100,54,0.15,15,25,33
1,12,2006,37,43,30,35,82,93,70,0.02,5,17,24
1,13,2006,42,50,34,34,68,85,58,0.00,9,21,29
1,14,2006,38,55,21,34,88,100,76,0.55,13,29,38
1,15,2006,13,21,4,2,72,84,60,0.10,22,35,44
1,16,2006,10,17,2,0,70,87,53,0.00,6,17,21
1,17,2006,17,34,0,10,67,87,47,T,3,18,24
1,18,2006,40,47,32,36,76,100,52,1.61,14,29,44
1,19,2006,35,38,31,19,57,69,44,T,10,25,38
1,20,2006,43,49,37,29,60,70,49,0.00,12,22,30
1,21,2006,39,54,23,28,70,89,50,T,16,31,41
1,22,2006,23,30,15,9,54,73,35,T,6,20,24
1,23,2006,29,34,23,25,70,100,39,0.30,5,14,20
1,24,2006,29,35,23,24,76,96,56,0.01,8,21,29
1,25,2006,32,34,29,29,86,100,72,0.27,7,16,21
1,26,2006,16,29,3,17,80,92,67,0.12,10,23,29
1,27,2006,15,30,0,8,71,95,46,0.00,6,16,21
1,28,2006,38,46,30,24,56,70,41,0.00,8,16,21
1,29,2006,33,37,28,27,84,92,75,0.07,2,13,14
1,30,2006,33,36,30,31,95,100,89,T,3,14,16
1,31,2006,34,37,31,32,88,100,75,0.11,5,16,20
2,1,2006,30,32,28,26,85,92,78,0.01,3,10,13
2,2,2006,36,43,28,27,75,92,57,0.00,6,18,24
2,3,2006,42,48,36,36,79,93,65,0.34,10,21,29
2,4,2006,38,46,30,31,75,92,58,0.08,4,15,18
2,5,2006,41,47,34,36,75,100,49,0.45,9,23,31
2,6,2006,29,34,23,19,67,96,38,0.09,13,24,32
2,7,2006,21,23,18,8,58,65,50,T,10,18,26
2,8,2006,16,20,12,9,66,76,56,T,6,14,17
2,9,2006,15,18,11,6,70,84,56,0.01,5,16,20
2,10,2006,10,16,3,0,65,79,50,T,6,15,20
2,11,2006,13,25,0,0,62,87,36,0.00,2,8,10
2,12,2006,13,19,7,5,71,84,58,0.00,7,18,23
2,13,2006,16,29,3,9,65,87,42,T,8,21,29
2,14,2006,32,37,26,21,66,75,56,T,12,21,26
2,15,2006,45,54,36,25,50,64,35,0.00,12,25,36
2,16,2006,32,43,20,21,71,85,57,T,8,17,20
2,17,2006,35,51,19,23,65,86,43,0.11,18,36,52
2,18,2006,9,19,-1,-2,62,84,40,0.04,12,26,35
2,19,2006,14,24,4,1,52,63,40,0.00,12,20,25
2,20,2006,23,30,15,8,55,67,42,0.00,10,20,24
2,21,2006,27,33,21,17,70,92,47,0.03,8,16,22
2,22,2006,28,36,19,17,65,92,38,0.00,6,16,20
2,23,2006,35,39,30,26,72,92,51,0.01,8,15,22
2,24,2006,23,33,12,16,64,85,43,0.22,14,30,37
2,25,2006,11,18,3,8,70,87,53,0.12,7,21,29
2,26,2006,6,15,-2,0,67,90,45,0.00,12,24,37
2,27,2006,10,16,3,-8,46,60,29,0.00,15,21,28
2,28,2006,16,21,10,-2,47,67,26,T,13,23,32
3,1,2006,15,25,4,1,60,79,41,T,7,20,25
3,2,2006,25,31,19,11,56,68,43,T,9,17,23
3,3,2006,16,20,11,7,58,74,42,0.02,16,28,32
3,4,2006,23,26,19,16,76,92,60,0.82,8,23,28
3,5,2006,25,30,20,11,64,84,43,0.00,7,15,20
3,6,2006,25,32,18,12,60,74,45,0.00,5,15,16
3,7,2006,20,31,8,11,69,91,46,0.00,5,16,17
3,8,2006,20,34,6,11,62,84,39,0.00,2,9,10
3,9,2006,36,45,27,28,65,89,41,0.09,7,24,32
3,10,2006,47,56,38,39,76,85,66,0.02,13,25,36
3,11,2006,41,52,29,27,57,78,35,0.00,5,17,22
3,12,2006,39,52,26,35,71,100,42,0.03,7,22,29
3,13,2006,44,56,32,40,93,100,86,0.50,4,23,32
3,14,2006,42,55,29,35,66,93,39,0.08,14,28,40
3,15,2006,28,30,25,17,64,93,47,0.02,14,21,30
3,16,2006,26,30,21,15,66,80,47,0.01,11,17,26
3,17,2006,22,25,19,8,57,78,42,0.00,14,20,24
3,18,2006,22,26,17,9,62,80,47,0.00,9,14,23
3,19,2006,22,26,19,15,73,93,49,0.00,8,15,22
3,20,2006,20,24,17,9,61,77,48,0.00,12,18,25
3,21,2006,28,36,21,14,57,66,44,0.00,9,14,20
3,22,2006,32,37,26,21,67,86,45,0.02,3,12,17
3,23,2006,39,48,30,25,59,73,44,0.00,1,12,20
3,24,2006,40,45,34,32,74,85,62,T,3,8,12
3,25,2006,40,47,32,31,71,89,53,T,2,10,13
3,26,2006,34,43,26,25,67,89,45,0.00,5,14,18
3,27,2006,34,46,23,20,54,81,35,0.00,5,15,21
3,28,2006,39,54,24,20,53,85,21,0.00,2,8,-
3,29,2006,43,60,26,20,46,81,18,0.00,3,12,-
3,30,2006,46,63,30,24,47,75,19,0.00,2,9,-
3,31,2006,53,73,33,32,42,75,23,0.00,7,20,26
4,1,2006,53,64,42,46,76,94,43,0.27,11,24,33
